movie_id,title,info,mpaa_ratings
1632926,$5 a Day,"Rated PG-13 for sexual content, brief nudity and language",Rated PG-13
1632941,$9.99,Rated R for language and brief sexuality and nudity,Rated R 
1632956,$windle,Rated R for some violence and brief sexuality/nudity,Rated R 
1633013,'A' gai wak,Rated PG-13 for violence,Rated PG-13
1633014,'A' gai wak juk jap,Rated PG-13 for violence,Rated PG-13
1633461,'R Xmas,"Rated R for strong language, drug content and some violence",Rated R 
1633618,'Til There Was You,"Rated PG-13 for sensuality, language and drug references",Rated PG-13
1633729,(500) Days of Summer,Rated PG-13 for sexual material and language,Rated PG-13
1633856,(Untitled),Rated R for language and nude images,Rated R 
1634282,.45,"Rated R for pervasive strong language including graphic sexual references, violence, sexuality and some drug use",Rated R 
1634508,1 Love,Rated PG for some language and thematic material,Rated PG 
1634732,10 Items or Less,Rated R for language,Rated R 
1634838,10 Things I Hate About You,"Rated PG-13 for crude sex-related humor and dialogue, alcohol and drug-related scenes, all involving teens",Rated PG-13
1634862,10 Years,"Rated PG-13 for language, alcohol abuse, some sexual material and drug use",Rated PG-13
1634882,"10,000 BC",Rated PG-13 for sequences of intense action and violence,Rated PG-13
1634956,100 Girls,"Rated R for strong sexual content including graphic dialogue, and for brief violence",Rated R 
1635008,100 Mile Rule,"Rated R for language, sexuality and drug content",Rated R 
1635046,100 Tears,Rated NC-17 for extreme horror violence,Rated NC-17
1635450,10th & Wolf,"Rated R for strong brutal violence, pervasive language, some drug content and sexuality/nudity",Rated R 
1635521,11-11-11,"Rated PG-13 for violence/terror, some disturbing images and thematic material",Rated PG-13
